PLZ,Name ,Landkreis,Bundesland
7387,Krölpa,Landkreis Saale-Orla-Kreis,Thüringen
63829,Krombach,Landkreis Aschaffenburg,Bayern
96317,Kronach,Landkreis Kronach,Bayern
76709,Kronau,Landkreis Karlsruhe,Baden-Württemberg
61476,Kronberg im Taunus,Landkreis Hochtaunuskreis,Hessen
87758,Kronburg,Landkreis Unterallgäu,Bayern
84178,Kröning,Landkreis Landshut,Bayern
25709,"Kronprinzenkoog, Marne u.a.",Kreis Dithmarschen,Schleswig-Holstein
24119,Kronshagen,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
18236,"Kröpelin, Carinerland",Landkreis Rostock,Mecklenburg-Vorpommern
24848,Kropp u.a.,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
21529,Kröppelshagen-Fahrendorf,Kreis Herzogtum Lauenburg,Schleswig-Holstein
17440,"Kröslin, Krummin, Lassan u.a.",Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
54536,Kröv,Landkreis Bernkastel-Wittlich,Rheinland-Pfalz
56642,Kruft,Landkreis Mayen-Koblenz,Rheinland-Pfalz
86381,Krumbach (Schwaben),Landkreis Günzburg,Bayern
21732,Krummendeich,Landkreis Stade,Niedersachsen
92703,Krummennaab,Landkreis Tirschenreuth,Bayern
23628,"Krummesse, Klempau",Kreis Herzogtum Lauenburg,Schleswig-Holstein
26736,Krummhörn,Landkreis Aurich,Niedersachsen
82494,Krün,Landkreis Garmisch-Partenkirchen,Bayern
82493,Krün,Landkreis Garmisch-Partenkirchen,Bayern
73329,Kuchen,Landkreis Göppingen,Baden-Württemberg
22958,Kuddewörde,Kreis Herzogtum Lauenburg,Schleswig-Holstein
76773,Kuhardt,Landkreis Germersheim,Rheinland-Pfalz
86556,Kühbach,Landkreis Aichach-Friedberg,Bayern
29416,Kuhfelde,Landkreis Altmarkkreis Salzwedel,Sachsen-Anhalt
18225,Kühlungsborn,Landkreis Rostock,Mecklenburg-Vorpommern
37359,Küllstedt,Landkreis Eichsfeld,Thüringen
95508,Kulmain,Landkreis Tirschenreuth,Bayern
95326,Kulmbach,Landkreis Kulmbach,Bayern
97900,Külsheim,Landkreis Main-Tauber-Kreis,Baden-Württemberg
25495,Kummerfeld,Kreis Pinneberg,Schleswig-Holstein
92245,Kümmersbruck,Landkreis Amberg-Sulzbach,Bayern
91358,Kunreuth,Landkreis Forchheim,Bayern
36093,Künzell,Landkreis Fulda,Hessen
74653,"Künzelsau, Ingelfingen",Landkreis Hohenlohekreis,Baden-Württemberg
94550,Künzing,Landkreis Deggendorf,Bayern
95362,Kupferberg,Landkreis Kulmbach,Bayern
74635,Kupferzell,Landkreis Hohenlohekreis,Baden-Württemberg
76456,Kuppenheim,Landkreis Rastatt,Baden-Württemberg
96328,Küps,Landkreis Kronach,Bayern
97273,Kürnach,Landkreis Würzburg,Bayern
75057,Kürnbach,Landkreis Karlsruhe,Baden-Württemberg
51515,Kürten,Kreis Rheinisch-Bergischer Kreis,Nordrhein-Westfalen
66869,Kusel,Landkreis Kusel,Rheinland-Pfalz
79790,Küssaberg,Landkreis Waldshut,Baden-Württemberg
29482,Küsten,Landkreis Lüchow-Dannenberg,Niedersachsen
72127,Kusterdingen,Landkreis Tübingen,Baden-Württemberg
27449,Kutenholz,Landkreis Stade,Niedersachsen
86500,Kutzenhausen,Landkreis Augsburg,Bayern
99707,Kyffhäuserland,Landkreis Kyffhäuserkreis,Thüringen
54655,Kyllburg,Landkreis Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
93164,"Laaber, Brunn",Landkreis Regensburg,Bayern
18299,"Laage, Wardow u.a.",Landkreis Rostock,Mecklenburg-Vorpommern
30880,Laatzen,Landkreis Region Hannover,Niedersachsen
84082,Laberweinting,Landkreis Straubing-Bogen,Bayern
24235,Laboe,Kreis Plön,Schleswig-Holstein
87760,Lachen,Landkreis Unterallgäu,Bayern
29331,Lachendorf,Landkreis Celle,Niedersachsen
49549,Ladbergen,Kreis Steinfurt,Nordrhein-Westfalen
